1,2,2
2,1,69
2,3,11
3,2,49
2,4,78
4,2,11
3,5,48
5,3,73
4,6,34
6,4,11
1,7,57
7,1,60
5,8,32
8,5,39
3,9,12
9,3,5
5,10,46
10,5,84
5,11,56
11,5,32
8,12,42
12,8,23
11,13,88
13,11,5
13,14,45
14,13,51
8,15,23
15,8,25
10,16,45
16,10,47
16,17,80
17,16,74
17,18,72
18,17,78
12,19,78
19,12,89
15,20,65
20,15,58
2,21,70
21,2,1
17,22,15
22,17,23
21,23,57
23,21,94
10,24,52
24,10,17
24,25,16
25,24,35
3,26,21
26,3,82
21,27,14
27,21,21
27,28,70
28,27,48
13,29,35
29,13,93
26,30,46
30,26,40
18,31,5
31,18,76
28,32,60
32,28,36
28,33,63
33,28,76
23,34,54
34,23,36
10,35,68
35,10,76
15,36,80
36,15,71
34,37,68
37,34,60
11,38,55
38,11,78
2,39,8
39,2,52
31,40,34
40,31,31
13,41,63
41,13,39
11,42,96
42,11,27
16,43,50
43,16,62
14,44,42
44,14,48
12,45,98
45,12,31
2,46,8
46,2,93
39,47,55
47,39,3
40,48,96
48,40,60
27,49,42
49,27,92
10,50,22
50,10,22
30,51,39
51,30,15
14,52,63
52,14,76
39,53,37
53,39,15
2,54,46
54,2,46
32,55,54
55,32,75
14,56,3
56,14,86
56,57,3
57,56,58
21,58,77
58,21,12
14,59,8
59,14,49
45,60,4
60,45,74
9,61,30
61,9,45
12,62,28
62,12,15
7,63,33
63,7,37
23,64,56
64,23,20
39,65,3
65,39,51
35,66,90
66,35,37
36,67,21
67,36,79
21,68,73
68,21,97
18,69,17
69,18,43
67,70,59
70,67,29
70,71,54
71,70,12
32,72,59
72,32,84
20,73,60
73,20,76
66,74,9
74,66,9
19,75,86
75,19,54
67,76,77
76,67,87
61,77,49
77,61,66
43,78,76
78,43,30
50,79,46
79,50,32
2,80,89
80,2,26
68,81,72
81,68,4
54,82,93
82,54,30
36,83,45
83,36,51
37,84,84
84,37,59
18,85,86
85,18,99
12,86,60
86,12,79
22,87,11
87,22,5
19,88,45
88,19,50
44,89,46
89,44,95
22,90,26
90,22,87
64,91,69
91,64,55
79,92,65
92,79,20
58,93,61
93,58,93
27,94,36
94,27,65
88,95,58
95,88,51
80,96,36
96,80,33
45,97,52
97,45,18
87,98,56
98,87,90
19,99,51
99,19,75
16,100,57
100,16,54
39,101,37
101,39,15
15,102,90
102,15,30
102,103,19
103,102,78
22,104,29
104,22,59
27,105,68
105,27,92
51,106,3
106,51,29
1,107,57
107,1,93
37,108,32
108,37,57
55,109,87
109,55,73
30,110,47
110,30,78
10,111,85
111,10,2
3,112,5
112,3,68
78,113,51
113,78,92
101,114,100
114,101,64
55,115,96
115,55,51
98,116,31
116,98,65
1,117,12
117,1,83
61,118,66
118,61,49
78,119,16
119,78,5
52,120,22
120,52,93
63,121,21
121,63,94
63,122,11
122,63,36
65,123,87
123,65,4
86,124,69
124,86,19
54,125,100
125,54,69
76,126,12
126,76,71
9,127,55
127,9,25
71,128,59
128,71,16
44,129,12
129,44,9
42,130,63
130,42,31
110,131,82
131,110,57
82,132,97
132,82,90
74,133,97
133,74,73
22,134,55
134,22,16
63,135,75
135,63,29
73,136,85
136,73,55
42,137,32
137,42,17
38,138,86
138,38,90
45,139,27
139,45,33
56,140,95
140,56,73
81,141,46
141,81,37
129,142,67
142,129,29
114,143,50
143,114,16
45,144,34
144,45,1
73,145,80
145,73,94
16,146,7
146,16,89
85,147,82
147,85,93
131,148,63
148,131,37
41,149,90
149,41,94
145,150,36
150,145,43
32,151,30
151,32,70
100,152,62
152,100,31
147,153,45
153,147,1
128,154,80
154,128,71
115,155,79
155,115,28
118,156,63
156,118,20
55,157,62
157,55,45
110,158,78
158,110,61
82,159,68
159,82,58
63,160,45
160,63,9
116,161,10
161,116,31
74,162,65
162,74,43
159,163,32
163,159,65
138,164,45
164,138,78
128,165,94
165,128,77
19,166,7
166,19,26
102,167,40
167,102,83
57,168,64
168,57,78
103,169,65
169,103,97
58,170,72
170,58,72
34,171,55
171,34,46
17,172,93
172,17,91
102,173,34
173,102,96
11,174,25
174,11,82
5,175,75
175,5,6
121,176,80
176,121,64
25,177,3
177,25,6
48,178,76
178,48,20
21,179,69
179,21,20
151,180,100
180,151,86
149,181,80
181,149,73
124,182,11
182,124,85
111,183,51
183,111,19
81,184,29
184,81,96
141,185,26
185,141,56
114,186,12
186,114,66
118,187,60
187,118,98
142,188,20
188,142,13
96,189,9
189,96,1
137,190,3
190,137,71
